,dttl,swin,dwin,tcprtt,synack,ackdat,label,attack_cat_Analysis,attack_cat_DoS,attack_cat_Exploits,attack_cat_Normal
3,252,255,255,0.0,0.0,0.0,6,0,0,0,1
11,252,255,255,0.13114,0.052852,0.078288,6,0,0,0,1
15,0,0,0,0.0,0.0,0.0,6,0,0,0,1
17,252,255,255,0.120313,0.059201,0.061112,6,0,0,0,1
21,252,255,255,0.154433,0.055109,0.099324,6,0,0,0,1
22,252,255,255,0.112429,0.052589,0.05984,6,0,0,0,1
28,252,255,255,0.08489,0.043864,0.041026,6,0,0,0,1
30,252,255,255,0.105602,0.037093,0.068509,6,0,0,0,1
31,252,255,255,0.100635,0.050384,0.050251,6,0,0,0,1
32,252,255,255,0.091221,0.029011,0.06221,6,0,0,0,1
34,252,255,255,0.117396,0.028884,0.088512,6,0,0,0,1
35,252,255,255,0.087353,0.04638,0.040973,6,0,0,0,1
39,252,255,255,0.08956,0.035775,0.053785,6,0,0,0,1
41,252,255,255,0.104887,0.033827,0.07106,6,0,0,0,1
43,252,255,255,0.0768,0.020716,0.056084,6,0,0,0,1
44,252,255,255,0.116514,0.052862,0.063652,6,0,0,0,1
45,252,255,255,0.08892,0.030047,0.058873,6,0,0,0,1
47,252,255,255,0.0732,0.020481,0.052719,6,0,0,0,1
48,252,255,255,0.080984,0.02154,0.059444,6,0,0,0,1
56,252,255,255,0.068678,0.01692,0.051758,6,0,0,0,1
60,252,255,255,0.06084,0.011637,0.049203,6,0,0,0,1
63,252,255,255,0.076333,0.012979,0.063354,6,0,0,0,1
64,252,255,255,0.059959,0.010475,0.049484,6,0,0,0,1
68,252,255,255,0.095227,0.026626,0.068601,6,0,0,0,1
91,252,255,255,0.069729,0.015132,0.054597,6,0,0,0,1
100,29,255,255,0.000695,0.000555,0.00014,6,0,0,0,1
103,29,255,255,0.000717,0.000574,0.000143,6,0,0,0,1
113,29,255,255,0.000759,0.000592,0.000167,6,0,0,0,1
118,29,255,255,0.000584,0.000468,0.000116,6,0,0,0,1
133,252,255,255,0.046623,0.016781,0.029842,6,0,0,0,1
137,29,255,255,0.000641,0.000503,0.000138,6,0,0,0,1
148,29,255,255,0.000601,0.000477,0.000124,6,0,0,0,1
149,252,255,255,0.077471,0.01992,0.057551,6,0,0,0,1
150,252,255,255,0.072692,0.024947,0.047745,6,0,0,0,1
162,29,255,255,0.000691,0.000555,0.000136,6,0,0,0,1
168,29,255,255,0.000755,0.000599,0.000156,6,0,0,0,1
170,29,255,255,0.000698,0.000549,0.000149,6,0,0,0,1
180,29,255,255,0.000685,0.000544,0.000141,6,0,0,0,1
191,29,0,0,0.0,0.0,0.0,6,0,0,0,1
192,29,0,0,0.0,0.0,0.0,6,0,0,0,1
194,29,255,255,0.00064,0.000508,0.000132,6,0,0,0,1
195,29,0,0,0.0,0.0,0.0,6,0,0,0,1
196,29,0,0,0.0,0.0,0.0,6,0,0,0,1
197,29,255,255,0.000665,0.000531,0.000134,6,0,0,0,1
198,29,0,0,0.0,0.0,0.0,6,0,0,0,1
200,29,255,255,0.000751,0.000606,0.000145,6,0,0,0,1
201,29,0,0,0.0,0.0,0.0,6,0,0,0,1
202,29,255,255,0.000715,0.000567,0.000148,6,0,0,0,1
206,29,0,0,0.0,0.0,0.0,6,0,0,0,1
208,29,0,0,0.0,0.0,0.0,6,0,0,0,1
210,29,0,0,0.0,0.0,0.0,6,0,0,0,1
211,29,0,0,0.0,0.0,0.0,6,0,0,0,1
212,29,0,0,0.0,0.0,0.0,6,0,0,0,1
213,29,0,0,0.0,0.0,0.0,6,0,0,0,1
